Interval Start,Interval End,Load
2026-05-08 03:10:00-05:00,2026-05-08 03:15:00-05:00,28313
2026-05-08 03:15:00-05:00,2026-05-08 03:20:00-05:00,28288
2026-05-08 03:20:00-05:00,2026-05-08 03:25:00-05:00,28257
2026-05-08 03:25:00-05:00,2026-05-08 03:30:00-05:00,28221
2026-05-08 03:30:00-05:00,2026-05-08 03:35:00-05:00,28158
2026-05-08 03:35:00-05:00,2026-05-08 03:40:00-05:00,28128
2026-05-08 03:40:00-05:00,2026-05-08 03:45:00-05:00,28168
2026-05-08 03:45:00-05:00,2026-05-08 03:50:00-05:00,28241
2026-05-08 03:50:00-05:00,2026-05-08 03:55:00-05:00,28238
2026-05-08 03:55:00-05:00,2026-05-08 04:00:00-05:00,28272
2026-05-08 04:00:00-05:00,2026-05-08 04:05:00-05:00,28328
2026-05-08 04:05:00-05:00,2026-05-08 04:10:00-05:00,28362
2026-05-08 04:10:00-05:00,2026-05-08 04:15:00-05:00,28381
2026-05-08 04:15:00-05:00,2026-05-08 04:20:00-05:00,28349
2026-05-08 04:20:00-05:00,2026-05-08 04:25:00-05:00,28364
2026-05-08 04:25:00-05:00,2026-05-08 04:30:00-05:00,28406
2026-05-08 04:30:00-05:00,2026-05-08 04:35:00-05:00,28462
2026-05-08 04:35:00-05:00,2026-05-08 04:40:00-05:00,28514
2026-05-08 04:40:00-05:00,2026-05-08 04:45:00-05:00,28555
2026-05-08 04:45:00-05:00,2026-05-08 04:50:00-05:00,28561
2026-05-08 04:50:00-05:00,2026-05-08 04:55:00-05:00,28590
2026-05-08 04:55:00-05:00,2026-05-08 05:00:00-05:00,28591
2026-05-08 05:00:00-05:00,2026-05-08 05:05:00-05:00,28712
2026-05-08 05:05:00-05:00,2026-05-08 05:10:00-05:00,28774
2026-05-08 05:10:00-05:00,2026-05-08 05:15:00-05:00,28909
2026-05-08 05:15:00-05:00,2026-05-08 05:20:00-05:00,29025
2026-05-08 05:20:00-05:00,2026-05-08 05:25:00-05:00,29115
2026-05-08 05:25:00-05:00,2026-05-08 05:30:00-05:00,29156
2026-05-08 05:30:00-05:00,2026-05-08 05:35:00-05:00,29253
2026-05-08 05:35:00-05:00,2026-05-08 05:40:00-05:00,29364
2026-05-08 05:40:00-05:00,2026-05-08 05:45:00-05:00,29461
2026-05-08 05:45:00-05:00,2026-05-08 05:50:00-05:00,29554
2026-05-08 05:50:00-05:00,2026-05-08 05:55:00-05:00,29715
2026-05-08 05:55:00-05:00,2026-05-08 06:00:00-05:00,29794
2026-05-08 06:00:00-05:00,2026-05-08 06:05:00-05:00,29993
2026-05-08 06:05:00-05:00,2026-05-08 06:10:00-05:00,30218
2026-05-08 06:10:00-05:00,2026-05-08 06:15:00-05:00,30385
